"fcl","cpc"
575,"21491"
576,"21433"
580,"21433.01"
583,"21439.08"
584,"21499.01"
587,"01359.01"
591,"01359.02"
592,"01352"
600,"01317"
604,"21419.91"
620,"21419.99"
622,"21439.9"
624,"23170.04"
625,"23670.02"
626,"23991.03"
628,"39120.15"
629,"39120.16"
630,"39120.17"
632,"24110"
633,"24490"
634,"2413"
635,"01913"
636,"01911"
637,"01919.01"
638,"01919.02"
639,"01919.91"
640,"01919.03"
641,"01912"
642,"01919.94"
643,"01919.92"
644,"01919.04"
645,"01919.93"
646,"01919.05"
647,"01919.06"
648,"01919.07"
649,"01919.08"
650,"39120.92"
651,"01919.96"
652,"39120.91"
653,"39170.01"
654,"39160"
655,"01919.95"
656,"01610"
657,"23911"
658,"23912.01"
659,"23912.02"
660,"39150.01"
661,"01640"
662,"23610.01"
663,"39150.02"
664,"23620"
671,"01630"
672,"23914"
674,"01930.04"
677,"01659"
723,"01699"
737,"35410.01"
748,"01930.01"
753,"35410.90"
754,"01930.02"
755,"23999.04"
756,"01930.03"
767,"01921.02"
768,"26160"
770,"21800"
771,"01929.01"
773,"26190.01"
774,"26190.02"
828,"25020.01"
829,"25020.02"
831,"25090"
836,"01950.01"
837,"01950.02"
839,"03211"
840,"23319.01"
841,"23319.02"
842,"23319.03"
843,"23311"
845,"23319.04"
846,"39130.04"
849,"23319.05"
850,"23319.06"
851,"23319.07"
852,"23319.08"
853,"23319.09"
854,"23319.10"
855,"23319.11"
857,"01919.09"
858,"01919.10"
859,"01919.11"
862,"23320"
866,"02111"
868,"21151"
869,"21512"
871,"21512.01"
872,"21182"
873,"21185"
874,"21184.01"
877,"23991.04"
882,"02211"
883,"22110.01"
885,"22120"
886,"22241.01"
887,"22241.02"
888,"22110.02"
889,"22222.01"
890,"22130.03"
891,"22230.01"
892,"22230.02"
893,"22230.03"
894,"22221.01"
895,"22221.02"
896,"22222.02"
897,"22211"
898,"22212"
899,"22230.04"
900,"22130.02"
901,"22251.01"
903,"22130.01"
904,"22251.02"
905,"22251.03"
907,"22251.04"
908,"22110.03"
909,"22290"
910,"22270"
916,"23993.01"
917,"22260"
919,"02951.01"
920,"02951.04"
921,"02951.05"
922,"02951.91"
927,"02951.02"
928,"02951.06"
929,"02951.07"
930,"02951.92"
944,"21111.01i"
945,"21111.01b"
946,"02112"
948,"21152"
949,"21513"
951,"02212"
952,"22242.01"
953,"22242.02"
954,"22110.04"
955,"22252"
957,"02951.03"
958,"02951.08"
959,"02951.09"
972,"21112i"
973,"21112b"
976,"02122"
978,"21155"
979,"21514"
982,"02291"
983,"22249.01"
984,"22253"
985,"22110.05"
988,"26130"
995,"02953"
996,"02953.03"
997,"02953.04"
998,"02953.90"
999,"02953.01"
1002,"02955.01"
878,"21189.01"
1007,"39213"
1008,"26150.01"
1010,"26150.02"
1012,"21115i"
1013,"21115b"
1016,"02123"
1018,"21156"
1019,"21515"
1020,"02292"
1021,"22254"
1022,"22249.02"
1023,"22110.06"
1025,"02954"
1026,"02954.01"
1027,"02954.02"
1028,"02954.90"
1030,"02943.01"
1031,"02942.02"
1032,"21116i"
1033,"21116b"
1034,"02140"
1036,"21153"
1037,"21511.01"
1039,"21181"
1040,"21511.02"
1041,"21184.02"
1043,"21521"
1044,"02959.01"
1045,"02959.03"
1046,"02959.04"
1047,"02959.05"
1055,"21113.01i"
1056,"21113.01b"
1059,"21160.01"
1062,"0231"
1063,"23993.02"
1064,"23993.03"
1065,"21511.03"
1066,"21522"
1068,"02154"
1070,"21122i"
1071,"21122b"
1072,"02153"
1074,"21160.02"
1075,"21160.03"
1077,"21123i"
1078,"21123b"
1079,"02152"
1081,"21160.04"
1083,"02194"
1084,"21170.01i"
1085,"21170.01b"
1087,"21124i"
1088,"21124b"
1089,"21170.01"
1091,"0232"
1094,"21121i"
1095,"21121b"
1096,"02131"
1098,"21159.01"
1100,"39110.01"
1102,"02952.01"
1103,"02952.04"
1104,"02952.05"
1105,"02952.91"
1107,"02132"
1109,"02952.02"
1110,"02133"
1112,"02952.03"
1120,"21118.01i"
1060,"21189.02"
1121,"21118.01b"
1122,"21118.02i"
1123,"21118.02b"
1124,"21118.03i"
1125,"21118.03b"
1126,"02121.01"
1128,"21159.02"
1129,"21519.02"
1130,"02293"
1133,"02959.02"
1134,"02959.06"
1135,"02959.07"
1136,"02959.08"
1137,"21117.01i"
1138,"21117.01b"
1140,"02191"
1144,"21114i"
1145,"21114b"
1146,"02955.02"
1150,"02192.01"
1154,"21119.01i"
1155,"21119.01b"
1157,"02121.02"
1160,"21519.03"
1161,"21117.02i"
1162,"21117.02b"
1164,"21183"
1168,"21529.03"
1173,"21190.01"
1174,"21291"
1175,"21190.02"
1176,"02920"
1181,"02196"
1182,"02910"
1183,"02960.01"
1185,"02944"
1186,"26110"
1187,"39211"
1195,"02955.90"
1213,"02959.91"
1214,"02959.20"
1215,"02959.30"
1216,"02959.99"
1218,"02943.02"
1219,"02942.90"
1221,"21529.02"
1222,"21932.01"
1225,"21523"
1241,"21700.01"
1242,"21700.02"
1259,"39170.02"
1273,"21693.02"
1274,"34550"
1276,"34120"
1277,"21932.02"
1291,"03219.01"
1292,"03219.90"
1295,"02960.02"
1296,"21931"
